Development_Name,Borough,Account_Name,Location,Funding_Source,AMP_Number,Vendor_Name,UMIS_BILL_ID,Revenue_Month,Service_Start_Date,DATE,Number_of_days,Meter_Number,Estimated,Current_Charges,Rate_Class,Bill_Analyzed,Consumption_Therms,ES_Commodity,Underlying_Utility,STATION,NAME,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CLAREMONT REHAB (GROUP 3),BRONX,CLAREMONT REHAB (GROUP 3),BLD 01,FEDERAL,NY005013080P,CONSOLIDATED EDISON COMPANY OF NY,8074088,2019-08-01,2019-05-23,2019-08-27,96.0,3299934,N,929.2,TRMDH,Yes,1136.0,UTILITY GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
CLAREMONT REHAB (GROUP 3),BRONX,CLAREMONT REHAB (GROUP 3),BLD 04,FEDERAL,NY005013080P,CONSOLIDATED EDISON COMPANY OF NY,8085929,2019-08-01,2019-05-23,2019-08-27,96.0,3718130,N,2384.4,TRMDH,Yes,3200.0,UTILITY GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
CLAREMONT REHAB (GROUP 4),BRONX,CLAREMONT REHAB (GROUP 4),BLD 08,FEDERAL,NY005013080P,CONSOLIDATED EDISON COMPANY OF NY,8085941,2019-08-01,2019-05-23,2019-08-27,96.0,3267536,N,1101.94,TRMDH,Yes,1381.0,UTILITY GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
CLAREMONT REHAB (GROUP 3),BRONX,CLAREMONT REHAB (GROUP 3),BLD 01,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8201479,2019-08-01,2019-05-23,2019-08-26,95.0,3.95E+14,N,459.85,,Yes,1136.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
CLAREMONT REHAB (GROUP 3),BRONX,CLAREMONT REHAB (GROUP 3),BLD 04,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8201482,2019-08-01,2019-05-23,2019-08-26,95.0,3.95E+14,N,1295.38,,Yes,3200.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
CLAREMONT REHAB (GROUP 4),BRONX,CLAREMONT REHAB (GROUP 4),BLD 08,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8201481,2019-08-01,2019-05-23,2019-08-26,95.0,3.95E+14,N,559.03,,Yes,1381.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BRONX,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,,FEDERAL,NY005010450P,EAST COAST POWER & GAS,8048582,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,1070.11,,Yes,2642.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
WEST FARMS SQUARE CONVENTIONAL,BRONX,WEST FARMS SQUARE CONVENTIONAL,BLD 02,FEDERAL,NY005015310P,EAST COAST POWER & GAS,8048657,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,284.34,,Yes,702.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 03,FEDERAL,NY005015300P,EAST COAST POWER & GAS,8048660,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,428.12,,Yes,1057.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 04,FEDERAL,NY005015300P,EAST COAST POWER & GAS,8048659,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,895.54,,Yes,2211.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
