Development_Name,Borough,Account_Name,Location,Funding_Source,AMP_Number,Vendor_Name,UMIS_BILL_ID,Revenue_Month,Service_Start_Date,DATE,Number_of_days,Meter_Number,Estimated,Current_Charges,Rate_Class,Bill_Analyzed,Consumption_Therms,ES_Commodity,Underlying_Utility,STATION,NAME,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
WILLIAMS PLAZA,BROOKLYN,WILLIAMS PLAZA,BLD 03,MIXED FINANCE/LLC2,NY005021280P,National Grid NYC,8106837,2019-08,07/26/2019,2019-08-27,32.0,2644927,Y,4471.82,T3 TRAN MULT FAM,Yes,13354.0,UTILITY GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMS PLAZA,BROOKLYN,WILLIAMS PLAZA,BLD 03,MIXED FINANCE/LLC2,NY005021280P,DIRECT ENERGY BUSINESS (32179),8221757,2019-08,07/27/2019,2019-08-27,31.0,58910000,N,5413.71,,Yes,13354.0,BROKERED GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 17,FEDERAL,NY005000020P,National Grid NYC,8106832,2019-08,07/26/2019,2019-08-27,32.0,2644928,N,5301.79,T3 TRAN MULT FAM,Yes,15933.0,UTILITY GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 12,FEDERAL,NY005000020P,National Grid NYC,8106833,2019-08,07/26/2019,2019-08-27,32.0,54099,N,4646.9,T3 TRAN MULT FAM,Yes,13898.0,UTILITY GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 21 - Community Center,FEDERAL,NY005000020P,National Grid NYC,8106835,2019-08,07/26/2019,2019-08-27,32.0,5151884,N,43.07,T2-2 TRAN GENERAL,Yes,4.0,UTILITY GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 07,FEDERAL,NY005000020P,National Grid NYC,8106839,2019-08,07/26/2019,2019-08-27,32.0,9438854,N,1526.28,T3 TRAN MULT FAM,Yes,4201.0,UTILITY GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 04,FEDERAL,NY005000020P,National Grid NYC,8106854,2019-08,07/26/2019,2019-08-27,32.0,54101,N,4816.81,T3 TRAN MULT FAM,Yes,14426.0,UTILITY GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 17,FEDERAL,NY005000020P,DIRECT ENERGY BUSINESS (32179),8114302,2019-08,07/27/2019,2019-08-27,31.0,56102110,N,6459.24,,Yes,15933.0,BROKERED GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 12,FEDERAL,NY005000020P,DIRECT ENERGY BUSINESS (32179),8114303,2019-08,07/27/2019,2019-08-27,31.0,56118800,N,5634.25,,Yes,13898.0,BROKERED GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 21 - Community Center,FEDERAL,NY005000020P,DIRECT ENERGY BUSINESS (32179),8114304,2019-08,07/27/2019,2019-08-27,31.0,57026540,N,1.62,,Yes,4.0,BROKERED GAS,NatGrid NYC,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,0.0,0.0,,,,
